H2S,N2,CO2,C1,C2,C3,C4,C5,C6,C7+,MWC7+,Temp,Psat
0.000000,0.002000,0.004900,0.294600,0.085100,0.066300,0.039700,0.033700,0.037900,0.435900,146.000000,330.372222,102.040816
0.000000,0.000000,0.000800,0.293500,0.078500,0.072800,0.060300,0.048100,0.045300,0.396200,227.000000,329.816667,115.986395
0.000000,0.001900,0.001200,0.286200,0.086600,0.065200,0.047800,0.027100,0.036200,0.447800,274.000000,330.372222,120.136054
0.000000,0.000400,0.007800,0.409100,0.107200,0.066400,0.044400,0.026200,0.025100,0.314000,195.000000,390.372222,219.253282
0.000000,0.000900,0.011000,0.185800,0.000200,0.000100,0.000200,0.000800,0.001500,0.794500,544.010000,333.150000,55.160000
0.000000,0.009600,0.000300,0.038700,0.025100,0.046300,0.051200,0.051200,0.000000,0.776500,259.022205,338.000000,22.000000
0.000000,0.000000,0.001000,0.507000,0.055000,0.032000,0.025000,0.014000,0.020000,0.347000,252.000000,379.261111,249.319728
0.000000,0.005900,0.000900,0.172100,0.051800,0.066500,0.050700,0.036600,0.028800,0.586700,259.900168,355.650000,77.000000
0.000000,0.001000,0.011600,0.329300,0.077800,0.060600,0.037300,0.029200,0.037000,0.416200,279.000000,329.261111,122.789116
0.000000,0.000000,0.001700,0.285600,0.086300,0.074300,0.038100,0.026100,0.041100,0.446800,249.000000,329.816667,105.306122
0.000000,0.000000,0.001300,0.221800,0.004500,0.006100,0.015500,0.015800,0.042900,0.692100,162.000000,336.483333,79.047619
0.000000,0.000400,0.012100,0.189200,0.000400,0.000400,0.000800,0.001000,0.002300,0.793400,530.200000,311.150000,41.400000
0.000000,0.000000,0.000000,0.520000,0.038100,0.023700,0.017200,0.012000,0.020600,0.368400,199.000000,366.483333,261.156463
0.000000,0.011300,0.001300,0.254500,0.069900,0.096000,0.078700,0.059300,0.018800,0.410200,237.000000,342.594444,98.367347
0.000000,0.001900,0.025100,0.318900,0.075100,0.065900,0.047700,0.035100,0.032900,0.397400,324.000000,329.816667,124.149660
0.000000,0.005000,0.015000,0.069000,0.077000,0.082000,0.083000,0.047000,0.083000,0.541000,209.000000,317.594444,22.789116
0.000000,0.001800,0.024600,0.302600,0.073000,0.063600,0.046100,0.035400,0.032200,0.420800,299.000000,329.816667,124.149660
0.000000,0.009000,0.001600,0.471200,0.059700,0.046200,0.034900,0.025500,0.021900,0.330000,217.000000,347.594444,230.884354
0.000000,0.006000,0.001200,0.237100,0.071800,0.087100,0.068500,0.051700,0.028500,0.448100,238.000000,342.038889,94.285714
0.000000,0.002100,0.007200,0.331200,0.074400,0.060700,0.032200,0.017900,0.030500,0.443800,271.000000,333.150000,117.687075
0.000000,0.000900,0.011000,0.185800,0.000200,0.000100,0.000200,0.000800,0.001500,0.794500,544.010000,311.150000,50.416495
0.000000,0.010300,0.013800,0.361700,0.075732,0.078068,0.053237,0.039863,0.033800,0.333500,195.711574,427.600000,186.200000
0.000000,0.004100,0.004400,0.402400,0.076900,0.081500,0.054200,0.036200,0.028100,0.312300,210.000000,370.927778,200.816327
0.000000,0.009600,0.001600,0.240600,0.007600,0.032600,0.033400,0.015800,0.007000,0.651800,414.162065,339.000000,74.000000
0.000000,0.006800,0.001600,0.228400,0.062800,0.078300,0.062400,0.046300,0.034400,0.479000,226.000000,342.038889,95.714286
0.000000,0.001229,0.059203,0.279115,0.097409,0.083376,0.051726,0.039435,0.033084,0.355400,84.229594,365.372000,133.068800
0.000000,0.004500,0.000800,0.293500,0.078500,0.072800,0.060300,0.048100,0.045300,0.396200,227.000000,329.816667,115.986395
0.000000,0.000300,0.003000,0.278000,0.082600,0.067300,0.037200,0.040800,0.042000,0.448800,254.000000,329.816667,111.904762
0.000000,0.002600,0.012600,0.282700,0.060000,0.048500,0.036000,0.040000,0.042600,0.475000,274.000000,329.816667,114.285714
0.000000,0.000600,0.008500,0.407000,0.105400,0.065500,0.044100,0.027200,0.028100,0.313600,195.000000,390.372222,216.326531
0.000000,0.002000,0.013000,0.236000,0.086000,0.067000,0.053000,0.045000,0.040000,0.458000,254.072354,372.050000,117.700000
0.000000,0.002000,0.008000,0.314200,0.076000,0.072300,0.048800,0.019700,0.009900,0.449100,251.000000,328.705556,118.231293
0.000000,0.003300,0.002200,0.255600,0.068700,0.063900,0.056100,0.046800,0.043300,0.460100,222.000000,329.261111,108.503401
0.000000,0.005300,0.001200,0.228000,0.064500,0.085100,0.066000,0.047100,0.042400,0.460400,242.000000,342.038889,90.136054
0.000000,0.000900,0.002200,0.510500,0.034500,0.013900,0.012000,0.006400,0.021800,0.397800,246.000000,376.483333,274.829932
0.000000,0.005200,0.064700,0.395800,0.106800,0.072700,0.052800,0.036500,0.029000,0.236700,176.000000,427.594444,246.734694
0.000000,0.000000,0.013000,0.345300,0.072400,0.053100,0.027900,0.019100,0.034800,0.434400,281.000000,328.705556,130.612245
0.000000,0.004500,0.005100,0.305600,0.072500,0.072800,0.052400,0.037600,0.038500,0.411000,268.000000,330.372222,118.027211
0.000000,0.000800,0.002700,0.497100,0.029998,0.013802,0.015201,0.015299,0.022900,0.402100,251.215272,337.850000,270.400000
0.000000,0.001500,0.004800,0.285100,0.081700,0.063600,0.041500,0.037300,0.038700,0.445900,142.000000,330.372222,102.040816
0.000000,0.001000,0.017000,0.029000,0.006000,0.003000,0.006000,0.008000,0.028000,0.902000,229.000000,394.261111,5.442177
0.000100,0.002300,0.010600,0.247500,0.067800,0.068000,0.060100,0.043500,0.038900,0.461200,256.000000,330.166667,105.489782
0.000000,0.001100,0.004500,0.254000,0.010900,0.027600,0.033600,0.030300,0.017100,0.620900,319.599623,328.000000,76.000000
0.000100,0.002300,0.010600,0.247500,0.067800,0.068000,0.060100,0.043500,0.038900,0.461200,256.000000,329.816667,104.081633
0.014900,0.003200,0.028000,0.452900,0.091100,0.055000,0.041300,0.030600,0.023800,0.259200,222.665505,376.450000,270.000000
0.000000,0.003700,0.025200,0.534000,0.076100,0.059100,0.037500,0.022500,0.015600,0.226300,337.731712,412.050000,358.500000
0.000000,0.016700,0.013800,0.266800,0.092500,0.101800,0.064000,0.040300,0.000000,0.404100,217.000000,372.038889,132.925170
0.000000,0.003400,0.008400,0.492300,0.063226,0.044574,0.030420,0.022580,0.020600,0.314500,230.380998,366.450000,274.500000
0.000000,0.000001,0.006800,0.487900,0.105700,0.062100,0.034600,0.045600,0.028000,0.248000,218.000000,383.150000,257.174447
0.000000,0.000400,0.001700,0.312200,0.065000,0.047500,0.025300,0.017100,0.026400,0.504500,264.000000,330.372222,114.965986
0.000000,0.004500,0.020700,0.265800,0.078900,0.067300,0.053800,0.044400,0.033500,0.431100,246.367297,394.250000,145.800000
0.000000,0.006700,0.021100,0.349300,0.070000,0.078200,0.054800,0.038000,0.030400,0.351500,230.000000,387.594444,185.306122
0.000000,0.000600,0.009400,0.444400,0.107600,0.061800,0.040400,0.026300,0.025700,0.283800,195.000000,388.705556,246.938776
0.000000,0.004800,0.004100,0.332500,0.075500,0.062100,0.041100,0.022000,0.028800,0.429100,236.000000,330.927778,111.564626
0.000000,0.004000,0.031000,0.543000,0.086000,0.057000,0.032000,0.020000,0.015000,0.212700,205.003611,388.150000,320.200000
0.000000,0.005900,0.018300,0.362500,0.070000,0.075500,0.055300,0.037800,0.029200,0.345500,212.744659,394.150000,187.500000
0.000000,0.009000,0.001400,0.387800,0.020300,0.000600,0.000600,0.000000,0.000400,0.579900,296.000000,328.150000,202.600000
0.000400,0.000200,0.009900,0.387900,0.100700,0.068600,0.041800,0.029200,0.027700,0.333800,210.000000,389.055556,208.152714
0.000000,0.000000,0.091100,0.455800,0.051100,0.030300,0.021800,0.019200,0.015400,0.315300,270.000000,360.927778,261.224490
